size; density; duration 
10; 0.25; 43
50; 0.25; 574.5
100; 0.25; 1272
150; 0.25; 2644
200; 0.25; 3587.5
10; 0.5; 38
50; 0.5; 473.5
100; 0.5; 1302.5
150; 0.5; 2786.5
200; 0.5; 4688
10; 0.75; 46.5
50; 0.75; 529.5
100; 0.75; 2333.5
150; 0.75; 3156.5
200; 0.75; 5405
10; 1; 48
50; 1; 625
100; 1; 2196.5
150; 1; 3495.5
200; 1; 5912.5
